Experiment,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
Exp2_Vajrobol_5,XGBoost,0.9999363854195381,1.0,0.9998514042300263,0.9999256965944272,0.9999999100087414,0.214
Exp2_Vajrobol_5,Random Forest,0.9999151805593842,1.0,0.9998018723067017,0.9999009263387328,0.9999997741035754,1.783
Exp2_Vajrobol_5,KNN,0.9998939756992302,1.0,0.9997523403833771,0.9998761548559681,0.9999256249796488,0.042
Exp2_Vajrobol_5,Decision Tree,0.9998727708390763,0.9998514042300263,0.9998514042300263,0.9998514042300263,0.9998700847623991,0.119
Exp2_Vajrobol_5,SVM,0.9997031319578448,0.9998513453248105,0.9994551488434296,0.9996532078275947,0.9999731807683979,0.054
Exp2_Vajrobol_5,Logistic Regression,0.9962679446129052,1.0,0.9912823814948735,0.9956221083528183,0.9999619924674379,0.078
