Comparison,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Full - Leakage-Free,Decision Tree,0.001017833287389469,0.0013369645951968323,0.0010401703898161863,0.0011885895404120106,0.0010206413684341609
Full - Leakage-Free,KNN,0.000508916643694679,0.0007439884533394503,0.0004457873099211751,0.0005946222445896154,0.00019705698097716162
Full - Leakage-Free,Logistic Regression,0.0005725312241565694,0.0005451481811874492,0.0007925107731934222,0.0006688815886558563,5.922894057208694e-06
Full - Leakage-Free,Random Forest,8.481944061577984e-05,0.0,0.00019812769329830004,9.907366126715722e-05,2.580361597726011e-07
Full - Leakage-Free,SVM,0.00010602430076978031,0.00019813750743014058,4.953192332457501e-05,0.00012382551400591524,2.0569430523309506e-06
Full - Leakage-Free,XGBoost,6.361458046189039e-05,4.953437685750739e-05,9.906384664915002e-05,7.429972509098715e-05,2.7548344383454548e-08
