Experiment,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
Exp4_Leakage_Free,XGBoost,0.9999363854195381,0.9999504656231425,0.9999009361533508,0.999925700274909,0.9999999724516556,0.513
Exp4_Leakage_Free,Random Forest,0.9999151805593842,1.0,0.9998018723067017,0.9999009263387328,0.9999997419638402,3.26
Exp4_Leakage_Free,SVM,0.9998091562586144,0.9998018624925699,0.9997523403833771,0.9997771008247269,0.9999979393838351,0.531
Exp4_Leakage_Free,Logistic Regression,0.9993002396149198,0.9994548518188126,0.9989102976868591,0.999182500557386,0.9999940513941546,0.183
Exp4_Leakage_Free,Decision Tree,0.9989821667126105,0.9986630354048032,0.9989598296101838,0.998811410459588,0.9989793586315658,1.272
Exp4_Leakage_Free,KNN,0.9980703577259908,0.9985612224647747,0.9969290207538759,0.9977444540835295,0.9992978220848209,0.011
