Model,CV Time (s),Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1-Score Mean,F1-Score Std,ROC-AUC Mean,ROC-AUC Std
XGBoost,6.523,0.999923662323553,8.001832872544521e-05,0.9999504666039236,9.13299597994789e-05,0.9998712174897223,0.0001332717788146259,0.9999108361584653,9.346174394625646e-05,0.9999998721766274,1.9643356912598286e-07
Random Forest,39.072,0.9998727708390192,5.017970588208186e-05,0.9999405528578332,4.853838892058227e-05,0.9997622467674588,0.0001010237738567011,0.9998513890166633,5.861567260252222e-05,0.9999994156296355,1.0185953192439249e-06
SVM,7.463,0.9997709878699513,0.000138334490760199,0.9998513919468431,0.00013473618467762816,0.999613655413261,0.00031776783615917683,0.9997324760726641,0.00016164229088952008,0.9999860681589496,3.066954929561166e-05
