Experiment,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
Exp3_RF_Top20,Decision Tree,1.0,1.0,1.0,1.0,1.0,0.188
Exp3_RF_Top20,Random Forest,1.0,1.0,1.0,1.0,1.0,2.081
Exp3_RF_Top20,XGBoost,1.0,1.0,1.0,1.0,1.0,0.25
Exp3_RF_Top20,SVM,0.9997455416781527,1.0,0.999405616920105,0.9997027201109845,0.9999999651054303,0.177
Exp3_RF_Top20,KNN,0.9996819270976908,0.999900882148875,0.9993560849967804,0.9996284093442663,0.9999318288668193,0.005
Exp3_RF_Top20,Logistic Regression,0.9996607222375369,1.0,0.9992074892268067,0.9996035875328279,0.9999997336993369,0.078
